nyc_zone_id,nyc_tier,casa_zone_id,casa_zone_name,casa_ae_class,weight,rationale
138,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
138,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
138,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
249,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
249,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
249,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
249,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
246,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
246,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
246,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
246,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
90,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
90,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
90,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
90,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
100,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
100,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
100,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
100,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
262,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
262,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
262,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
262,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
233,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
233,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
233,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
233,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
231,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
231,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
231,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
231,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
43,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
43,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
43,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
43,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
113,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
113,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
113,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
113,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
143,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
143,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
143,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
143,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
137,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
137,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
137,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
137,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
114,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
114,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
114,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
114,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
148,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
148,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
148,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
148,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
75,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
75,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
75,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
